"fcl","measuredItemCPC","level","predictions","consumable","mainFoodPct","mainFood"
15,"0111",0,0.0477723654223531,FALSE,0.0138996138996139,FALSE
16,"23110",1,0.810688875207409,TRUE,0.775897088693297,TRUE
17,"39120.01",1,0.0477723654223531,FALSE,0.910493827160494,FALSE
18,"23710",2,0.810688875207409,TRUE,0.202702702702703,FALSE
19,"23140.01",1,0.0477723654223531,FALSE,0.558292282430213,FALSE
20,"F0020",2,0.810688875207409,TRUE,0.283693224125093,FALSE
21,"23140.02",NA,0.810688875207409,TRUE,0.075,FALSE
22,"F0022",2,0.810688875207409,TRUE,0.207017543859649,FALSE
23,"23220.01",2,0.0477723654223531,FALSE,0.342857142857143,FALSE
24,"23220.02",2,0.0477723654223531,FALSE,0.255663430420712,FALSE
26,"24230.01",NA,0.810688875207409,TRUE,1,TRUE
27,"0113",0,0.0477723654223531,FALSE,0.0975206611570248,FALSE
28,"23162",1,0.810688875207409,TRUE,0.19893899204244,FALSE
29,"23161.01",2,0.810688875207409,TRUE,0.571428571428571,TRUE
31,"23161.02",1,0.810688875207409,TRUE,0.458274398868458,FALSE
32,"23161.03",2,0.810688875207409,TRUE,0.351236146632566,FALSE
33,"39130.01",3,0.0477723654223531,FALSE,1,FALSE
34,"23220.03",3,0.0477723654223531,FALSE,0.185416666666667,FALSE
35,"39120.02",1,0.0477723654223531,FALSE,0.866471734892788,FALSE
36,"21691.01",NA,0.810688875207409,TRUE,0.990476190476191,TRUE
37,"21910.01",NA,0.0477723654223531,FALSE,0.981308411214953,FALSE
38,"23120.01",3,0.810688875207409,TRUE,0.280334728033473,FALSE
39,"24230.02",NA,0.810688875207409,TRUE,0.414634146341463,FALSE
41,"23140.03",1,0.810688875207409,TRUE,0.158321060382916,FALSE
44,"0115",0,0.0477723654223531,FALSE,0.085024154589372,FALSE
45,"23140.04",1,0.810688875207409,TRUE,0.84297520661157,TRUE
46,"23140.05",2,0.810688875207409,TRUE,0.597647058823529,TRUE
47,"39120.03",1,0.0477723654223531,FALSE,0.964539007092199,FALSE
48,"23120.02",2,0.810688875207409,TRUE,0.605700712589074,TRUE
49,"24320",1,0.0477723654223531,FALSE,0.406368460955269,FALSE
50,"23999.01",2,0.810688875207409,TRUE,0.205955334987593,FALSE
51,"24310.01",1,0.810688875207409,TRUE,0.758053461274846,TRUE
56,"0112",0,0.0477723654223531,FALSE,0.0133146461107218,FALSE
57,"23140.06",1,0.0477723654223531,FALSE,0.722039473684211,FALSE
58,"23120.03",1,0.810688875207409,TRUE,0.808917197452229,TRUE
